full_name,H,diameter,albedo,e,a,q,i,n
   210 Isabella (A879 VA),9.4,86.65,0.0436,0.1231,2.722,2.387,5.26,0.2194
   211 Isolda (A879 XA),7.97,141.125,0.062,0.1544,3.048,2.578,3.87,0.1852
   212 Medea (A880 CA),8.47,136.12,0.0465,0.1028,3.117,2.796,4.28,0.1791
   213 Lilaea (A880 DA),9.09,82.096,0.092,0.1462,2.753,2.35,6.82,0.2158
   214 Aschera (A880 DB),9.31,24.957,1.0,0.0312,2.61,2.529,3.44,0.2337
   215 Oenone (A880 GA),9.57,35.21,0.243,0.0341,2.769,2.675,1.68,0.2139
   216 Kleopatra (A880 GB),7.02,122.0,0.1164,0.2502,2.795,2.096,13.12,0.2109
   217 Eudora (A880 QA),9.9,65.392,0.049,0.3097,2.868,1.98,10.52,0.2029
   218 Bianca (A880 RA),8.66,60.62,0.1746,0.1147,2.67,2.364,15.2,0.2259
   219 Thusnelda (A880 SA),9.38,37.674,0.189,0.2233,2.355,1.829,10.86,0.2727
   220 Stephania (A881 KA),11.2,31.738,0.055,0.2571,2.348,1.744,7.6,0.2739
   221 Eos (A882 BA),7.71,95.469,0.166,0.1009,3.012,2.708,10.89,0.1886
   222 Lucia (A882 CA),9.6,55.35,0.128,0.1313,3.146,2.733,2.14,0.1766
   223 Rosa (A882 EA),9.88,79.806,0.02,0.1207,3.092,2.719,1.92,0.1813
   224 Oceana (A882 FA),8.67,58.236,0.166,0.0447,2.645,2.526,5.85,0.2292
   225 Henrietta (A882 HA),8.78,95.934,0.062,0.2618,3.398,2.508,20.84,0.1574
   226 Weringia (A882 OA),9.84,31.494,0.352,0.2033,2.712,2.16,15.97,0.2207
   227 Philosophia (A882 PA),9.13,123.891,0.065,0.1999,3.152,2.522,9.09,0.1761
   228 Agathe (A882 QA),12.27,9.3,0.2082,0.2421,2.201,1.668,2.54,0.3018
   229 Adelinda (A882 QB),9.32,105.912,0.035,0.1359,3.425,2.959,2.08,0.1555
   230 Athamantis (A882 RA),7.43,111.332,0.164,0.061,2.382,2.237,9.45,0.2681
   231 Vindobona (A882 RB),9.71,73.545,0.068,0.1575,2.919,2.459,5.09,0.1977
   232 Russia (A883 BA),10.58,54.73,0.031,0.1714,2.554,2.116,6.07,0.2414
   233 Asterope (A883 JA),8.41,99.672,0.094,0.1016,2.659,2.389,7.69,0.2273
   234 Barbara (A883 PA),9.11,45.476,0.205,0.2462,2.385,1.798,15.38,0.2677
